surface_name    site_name   species_name    formation_energy    frequencies reference
None    gas CH4 0   []  catapp
None    gas CO2 0   []  catapp
None    gas CO  1.28    []  catapp
None    gas H2  0   []  catapp
Rh	111	CH2O-H	2.2	[3060.1,2962.9,1572.8,1416.6,1199.1,978.9,671.7,379.4,262.5,213.8,91.2,65.2,61.8,30.9]	jsy
Ag	111	OH	0.58	[3718.0,511.2,509.3,339.2,248.3,235.5]	jsy	
Au	111	OH	1.2	[3718.0,511.2,509.3,339.2,248.3,235.5]	jsy
Cu	111	OH	0.17	[3718.0,511.2,509.3,339.2,248.3,235.5]	jsy
Pd	111	OH	0.62	[3718.0,511.2,509.3,339.2,248.3,235.5]	jsy
Pt	111	OH	0.96	[3718.0,511.2,509.3,339.2,248.3,235.5]	jsy
Rh	111	OH	0.27	[3718.0,511.2,509.3,339.2,248.3,235.5]	jsy
Ag	111	CH3O	1.79	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
Ag	111	CH2O	2.22	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	jsy
Ag	111	CHO	3.27	[2767.1,1659.6,1220.8,664.3,396.5,221.4,88.4,73.2,36.6]	jsy
Ag	111	CH2OH	2.61	[3704.7,3120.3,3021.3,1448.6,1345.2,1139.1,1081.5,986.6,681.0,455.9,425.0,179.9,37.5]	jsy
Ag	111	CHOH	3.94	[3656.8,2964.2,1378.6,1198.8,1018.8,704.1,400.0,328.0,216.2,208.9,152.2,63.3]	jsy
Ag	111	COH	4.88	[3595.3,1227.6,1107.3,415.5,339.9,309.6,169.7,110.6,81.7]	jsy
Au	111	CH3O	2.3	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
Au	111	CH2O	2.23	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	jsy
Au	111	CHO	2.88	[2767.1,1659.6,1220.8,664.3,396.5,221.4,88.4,73.2,36.6]	jsy
Au	111	CH2OH	2.19	[3704.7,3120.3,3021.3,1448.6,1345.2,1139.1,1081.5,986.6,681.0,455.9,425.0,179.9,37.5]	jsy
Au	111	CHOH	3.49	[3656.8,2964.2,1378.6,1198.8,1018.8,704.1,400.0,328.0,216.2,208.9,152.2,63.3]	jsy
Au	111	COH	4.1	[3595.3,1227.6,1107.3,415.5,339.9,309.6,169.7,110.6,81.7]	jsy
Cu	111	CH3O	1.36	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
Cu	111	CH2O	2.23	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	jsy
Cu	111	CHO	2.96	[2767.1,1659.6,1220.8,664.3,396.5,221.4,88.4,73.2,36.6]	jsy
Cu	111	CH2OH	2.38	[3704.7,3120.3,3021.3,1448.6,1345.2,1139.1,1081.5,986.6,681.0,455.9,425.0,179.9,37.5]	jsy
Cu	111	CHOH	3.3	[3656.8,2964.2,1378.6,1198.8,1018.8,704.1,400.0,328.0,216.2,208.9,152.2,63.3]	jsy
Cu	111	COH	3.64	[3595.3,1227.6,1107.3,415.5,339.9,309.6,169.7,110.6,81.7]	jsy
Pd	111	CH3O	1.65	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
Pd	111	CH2O	1.98	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	jsy
Pd	111	CHO	1.85	[2767.1,1659.6,1220.8,664.3,396.5,221.4,88.4,73.2,36.6]	jsy
Pd	111	CH2OH	1.48	[3704.7,3120.3,3021.3,1448.6,1345.2,1139.1,1081.5,986.6,681.0,455.9,425.0,179.9,37.5]	jsy
Pd	111	CHOH	2.02	[3656.8,2964.2,1378.6,1198.8,1018.8,704.1,400.0,328.0,216.2,208.9,152.2,63.3]	jsy
Pd	111	COH	1.69	[3595.3,1227.6,1107.3,415.5,339.9,309.6,169.7,110.6,81.7]	jsy
Pt	111	CH3O	2.03	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
Pt	111	CH2O	2.18	[3047.8,2962.5,1443.2,1151.8,1108.2,914.7,639.8,468.2,329.2,255.8,162.9,144.6]	jsy
Pt	111	CHO	1.75	[2767.1,1659.6,1220.8,664.3,396.5,221.4,88.4,73.2,36.6]	jsy
Pt	111	CH2OH	1.27	[3704.7,3120.3,3021.3,1448.6,1345.2,1139.1,1081.5,986.6,681.0,455.9,425.0,179.9,37.5]	jsy
Pt	111	CHOH	1.64	[3656.8,2964.2,1378.6,1198.8,1018.8,704.1,400.0,328.0,216.2,208.9,152.2,63.3]	jsy
Pt	111	COH	1.58	[3595.3,1227.6,1107.3,415.5,339.9,309.6,169.7,110.6,81.7]	jsy
Rh	111	CH3O	1.29	[3033.3,3028.4,2960.6,1472.9,1470.1,1446.5,1147.3,1146.3,988.2,263.0,259.2,255.5,92.0,86.1,84.8]	jsy
